"scenario_index","scenario_id","scenario_type","rep","q_epsilon_target","q_epsilon_theoretical","q_epsilon_empirical","range_block_ratio","microscale","true_nugget","partial_sill","true_sill","sigma2_eps","observed_nugget","observed_sill","spherical_range","spherical_range_block_units","target_r2_block","prediction_relation","n_blocks_side","fine_per_block","n_sample","sigma2_obs_theoretical","sigma2_obs_empirical","sigma2_delta_theoretical","sigma2_delta_empirical","cov_point_block_theoretical","var_block_theoretical","lambda_theoretical","lambda_empirical","n_negative_eigenvalues","r_obs","R2_obs","RMSE_obs","r_true_point","R2_true_point","RMSE_true_point","r_block_true","R2_block_true","RMSE_block_true","r_ME","R2_ME","RMSE_ME","r_B_hat","R2_B_hat","RMSE_B_hat","lower_value_holds"
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",33,0.25,0.25,0.256732819940197,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.29836665764423,0.261051456779261,0.239320454813728,NA,0.738948543220739,0.554211407415554,0.577862277615038,0,0.609502713798662,0.371493558127933,0.917651729896739,0.665209228828582,0.442503318118717,0.759459263457501,0.774596669241483,0.6,0.577456165258203,0.70379311176693,0.495324744170578,0.71326808708167,0.818724738725022,0.670310197800355,0.497694592365522,TRUE
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",34,0.25,0.25,0.267136596936314,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.24780107688802,0.261051456779261,0.249786932266173,NA,0.738948543220739,0.554211407415554,0.589586558460886,0,0.605552401552725,0.366693711026272,0.91055982168559,0.688317309209717,0.473780718157706,0.757882018311437,0.774596669241483,0.6,0.58875365689476,0.69923168408978,0.48892494803503,0.704120625699006,0.813418415573021,0.661649518793324,0.484493961526353,TRUE
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",35,0.25,0.25,0.245883646288244,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.3556547512012,0.261051456779261,0.298121602045881,NA,0.738948543220739,0.554211407415554,0.529898324283136,0,0.550283710655256,0.302812162212518,0.991063830389395,0.63413371425284,0.402125567552103,0.803507874430577,0.774596669241483,0.6,0.55886215750153,0.635412896954957,0.403749549616691,0.80552726991255,0.739177819936147,0.546383849485556,0.622754145545018,TRUE
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",36,0.25,0.25,0.278347666166472,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.19754312268591,0.261051456779261,0.271088394772681,NA,0.738948543220739,0.554211407415554,0.534795449424556,0,0.56654056224444,0.320968208668246,0.92108206115086,0.64071825880813,0.410519887170122,0.766325826303851,0.774596669241483,0.6,0.541629783775038,0.654184692237339,0.427957611557662,0.71767599238137,0.761015108382155,0.579143995185903,0.503991441654839,TRUE
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",37,0.25,0.25,0.260155158284633,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.28128665805133,0.261051456779261,0.241597710891941,NA,0.738948543220739,0.554211407415554,0.577325834564394,0,0.577059664057495,0.332997855882149,0.944910110310734,0.670368580832656,0.44939403416759,0.762899971345696,0.774596669241483,0.6,0.568858440416863,0.666331104764139,0.443997141176198,0.748011887094122,0.775145068247043,0.600849876827712,0.546324378418947,TRUE
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",38,0.25,0.25,0.251410988464052,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.3258502954456,0.261051456779261,0.265579946048098,NA,0.738948543220739,0.554211407415554,0.56199372734687,0,0.533273826736125,0.284380974281791,1.0072383076462,0.649767500369688,0.422197804536672,0.798545009419487,0.774596669241484,0.6,0.585406118236215,0.615771574835768,0.379174632375722,0.825345791203085,0.716329008188225,0.513127247971926,0.648185327107444,TRUE
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",39,0.25,0.25,0.249101887516685,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.33814053621334,0.261051456779261,0.258275905068586,NA,0.738948543220739,0.554211407415554,0.557797836308697,0,0.599867991451553,0.35984160716812,0.940512634045063,0.665001777423847,0.442227363976876,0.765758569718375,0.774596669241484,0.6,0.58104659626236,0.692667892685588,0.479788809557494,0.742449110353733,0.805782736404536,0.649285818287581,0.538682860954188,TRUE
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",40,0.25,0.25,0.235244823898049,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.41696351830378,0.261051456779261,0.252578709814626,NA,0.738948543220739,0.554211407415554,0.53703624644326,0,0.569288287331444,0.324089154092769,0.993525453751665,0.660360755221998,0.436076327037368,0.77150324115192,0.774596669241483,0.6,0.571800096559563,0.657357491874621,0.432118872123692,0.80855395238606,0.764706036171344,0.584775321756889,0.626664214025229,TRUE
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",41,0.25,0.25,0.27750444818564,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.20118194685782,0.261051456779261,0.269332479645531,NA,0.738948543220739,0.554211407415554,0.531441977062392,0,0.553860765116067,0.306761747134955,0.936623880822178,0.626310869340557,0.392265305054124,0.770625620958819,0.774596669241483,0.6,0.551086716743059,0.639543323666666,0.409015662846606,0.737516752889766,0.743982758310547,0.55351034466337,0.531864178163751,TRUE
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",42,0.25,0.25,0.203353766096694,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.63917954278179,0.261051456779261,0.289294185262702,NA,0.738948543220739,0.554211407415554,0.561823827492849,0,0.595337829151667,0.35442713081902,1.04012061182189,0.677344355408273,0.458795375803449,0.828559878552069,0.774596669241483,0.6,0.617380723910338,0.687436911838965,0.472569507758693,0.865169089717965,0.799697519946285,0.63951612340824,0.698187723341044,TRUE
