Countrycode	Timezone	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	AirQualityStationNatCode	SamplingPoint	SamplingProcess	Sample	AirPollutantCode	AirPollutant	Projection	Longitude	Latitude	Altitude	MeasurementType	MeasurementMethod	AirQualityStationType	AirQualityStationArea	EquivalenceDemonstrated	MeasurementEquipment	InletHeight	BuildingDistance	KerbDistance
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23119	FR23119	FR23119	SPO-FR23119_00005_100	SPP-FR_A_TEOM_09000	SPO_F-FR23119_00005_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	PM10	EPSG:4979	nan	nan	45	automatic	TEOM	background	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23119	FR23119	FR23119	SPO-FR23119_00007_100	SPP-FR_A_UV-P_11000	SPO_F-FR23119_00007_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7	O3	EPSG:4979	nan	nan	45	automatic	UV-P	background	urban			4	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23119	FR23119	FR23119	SPO-FR23119_00008_100	SPP-FR_A_chemi_02000	SPO_F-FR23119_00008_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	NO2	EPSG:4979	nan	nan	45	automatic	chemi	background	urban			4	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23119	FR23119	FR23119	SPO-FR23119_00038_100	SPP-FR_A_chemi_02000	SPO_F-FR23119_00038_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38	NO	EPSG:4979	nan	nan	45	automatic	chemi	background	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23120	FR23120	FR23120	SPO-FR23120_00001_100	SPP-FR_A_UV-FL_12000	SPO_F-FR23120_00001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	SO2	EPSG:4979	nan	nan	47	automatic	UV-FL	background	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23120	FR23120	FR23120	SPO-FR23120_00005_100	SPP-FR_A_TEOM_D9038	SPO_F-FR23120_00005_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	PM10	EPSG:4979	nan	nan	47	automatic	TEOM	background	urban			4	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23120	FR23120	FR23120	SPO-FR23120_00007_100	SPP-FR_A_UV-P_11000	SPO_F-FR23120_00007_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7	O3	EPSG:4979	nan	nan	47	automatic	UV-P	background	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23120	FR23120	FR23120	SPO-FR23120_00008_100	SPP-FR_A_chemi_D9047	SPO_F-FR23120_00008_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	NO2	EPSG:4979	nan	nan	47	automatic	chemi	background	urban			4	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23120	FR23120	FR23120	SPO-FR23120_00038_100	SPP-FR_A_chemi_D9047	SPO_F-FR23120_00038_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38	NO	EPSG:4979	nan	nan	47	automatic	chemi	background	urban			4	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23120	FR23120	FR23120	SPO-FR23120_06001_100	SPP-FR_A_TEOM_D9038	SPO_F-FR23120_06001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	PM2.5	EPSG:4979	nan	nan	47	automatic	TEOM	background	urban			4	-999	-999
