"row_id","Study","Variable","Tier","panel","value","example_label","example_label_text","support_class","support_m","prediction_support","reference_support","bound_noninformative","noninformative_endpoint","point_value","axis_range_value","panel_label","symbol_target"
2,"BTS","BTS","Tier 2","Relative error",0.867914144193726,"BTS","BTS","small support",30,"30 m grid cell","BTS point observation",FALSE,FALSE,0.867914144193726,0.867914144193726,"RMSE / raw","small support"
3,"Meuse--Cd","Log cadmium","Tier 2","Relative error",0,"Meuse--Cd","Meuse--Cd","medium support",100,"100 m grid cell","treated as point soil sample",TRUE,TRUE,NA,NA,"RMSE / raw","medium support"
4,"Meuse--Zn","Log zinc","Tier 2","Relative error",0.662735849056604,"Meuse--Zn","Meuse--Zn","medium support",100,"100 m grid cell","treated as point soil sample",FALSE,FALSE,0.662735849056604,0.662735849056604,"RMSE / raw","medium support"
5,"NO2-DE","Annual mean NO2","Tier 2","Relative error",0.351498881431767,"NO2-DE","NO2-DE","large support",2000,"2 km grid cell","monitoring station annual mean",FALSE,FALSE,0.351498881431767,0.351498881431767,"RMSE / raw","large support"
6,"NO2-EU; 50/50 nugget split","Annual mean NO2","Tier 2","Relative error",0,"NO2-EU; 50/50 nugget split","NO2-EU; 50/50 nugget split","medium support",100,"100 m grid cell","AirBase monitoring station",TRUE,TRUE,NA,NA,"RMSE / raw","medium support"
7,"NO2-EU; full nugget microscale","Annual mean NO2","Tier 2","Relative error",0,"NO2-EU; full nugget microscale","NO2-EU; full nugget microscale","medium support",100,"100 m grid cell","AirBase monitoring station",TRUE,TRUE,NA,NA,"RMSE / raw","medium support"
8,"S1-SM","Soil moisture","Tier 2","Relative error",0.795454545454546,"S1-SM","S1-SM","large support",1000,"Sentinel-1 soil moisture product, approximately 1 km","in situ point-scale soil moisture at 0.05 m depth",FALSE,FALSE,0.795454545454546,0.795454545454546,"RMSE / raw","large support"
10,"SWE, 10 m","SWE","Tier 2","Relative error",0.896298479405463,"SWE, 10 m, q=0.000","SWE, 10 m, q=0.000","small support",10,"10 m grid cell","local snow survey site",FALSE,FALSE,0.896298479405463,0.896298479405463,"RMSE / raw","small support"
11,"SWE, 10 m","SWE","Tier 2","Relative error",0.896298479405463,"SWE, 10 m, q=0.015","SWE, 10 m, q=0.015","small support",10,"10 m grid cell","local snow survey site",FALSE,FALSE,0.896298479405463,0.896298479405463,"RMSE / raw","small support"
12,"SWE, 100 m","SWE","Tier 2","Relative error",0.428618083047243,"SWE, 100 m, q=0.000","SWE, 100 m, q=0.000","medium support",100,"100 m grid cell","local snow survey site",FALSE,FALSE,0.428618083047243,0.428618083047243,"RMSE / raw","medium support"
13,"SWE, 100 m","SWE","Tier 2","Relative error",0.428618083047243,"SWE, 100 m, q=0.015","SWE, 100 m, q=0.015","medium support",100,"100 m grid cell","local snow survey site",FALSE,FALSE,0.428618083047243,0.428618083047243,"RMSE / raw","medium support"
